rpm,frequency 
2230,0.083963056255248
1978,0.05420054200542
3135,0.071428571428572
3372,0.072886297376093
2473,0.068027210884354
2445,0.065616797900263
1657,0.051308363263212
2456,0.060350030175015
1905,0.051813471502591
2721,0.066666666666667
2665,0.055555555555556
2201,0.06939625260236
